,index,title,address,price,lat,long,restaurants,shopping,vibrant,cycling_friendly,car_friendly,historic,quiet,elementary_schools,high_schools,parks,nightlife,groceries,daycares,pedestrian_friendly,cafes,transit_friendly,greenery,year_built,population_2016_,population_variation_between_2011_2016_,population_density_,unemployment_rate_2016_,"less_than_$50,000_(%)","between_$50,000_and_$80,000_(%)","between_$80,000_and_$100,000_(%)","between_$100,000_and_$150,000_(%)","more_than_$150,000_(%)",1-person_households_(%),2-person_households_(%),3-person_households_(%),4-person_households_(%),5-person_or_more_households_(%),couples_without_children_at_home_(%),couples_with_children_at_home_(%),single-parent_families_(%),owners_(%),renters_(%),before_1960_(%),between_1961_and_1980_(%),between_1981_and_1990_(%),between_1991_and_2000_(%),between_2001_and_2010_(%),between_2011_and_2016_(%),single-family_homes_(%),semi-detached_or_row_houses_(%),buildings_with_less_than_5_floors_(%),buildings_with_5_or_more_floors_(%),mobile_homes_(%),university_(%),college_(%),secondary_(high)_school_(%),apprentice_or_trade_school_diploma_(%),no_diploma_(%),non-immigrant_population_(%),immigrant_population_(%),french_(%),english_(%),others_languages_(%),walk_score,rooms,bedrooms,basement_bedroom,bathrooms,powder_rooms,total_area,new_area_from_price,new_area_from_rooms,river_proximity,has_pool,n_parking,has_garage,is_devided,mr_distance
538,874,Condo for sale,"4455, Rue Saint-Urbain, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",449000,45.51859372,-73.58644164,10.0,10.0,10.0,10.0,5.0,7.0,4.0,10.0,10.0,10,10.0,10.0,8.0,10.0,10.0,9.0,5.0,1988.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,96.0,5.0,2.0,False,1.0,0.0,733.0,733.0,733.0,False,False,1.0,False,1,1.8060893836185443
539,875,Condo for sale,"2385, Rue des Équinoxes, apt. 503, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc",499000,45.51753211,-73.71255513,5.0,6.0,2.0,5.0,9.0,0.0,10.0,3.0,2.0,6,2.0,6.0,2.0,5.0,4.0,5.0,2.0,2017.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,37.0,7.0,2.0,False,2.0,0.0,851.0,851.0,851.0,False,True,1.0,True,1,9.034239250459407
540,876,Condo for sale,"830, Avenue Champagneur, Montréal (Outremont)",489000,45.522098,-73.614328,10.0,10.0,8.0,8.0,4.0,6.0,4.0,10.0,9.0,10,7.0,10.0,9.0,10.0,9.0,9.0,7.0,1910.0,23954,2,6254,6,29,19,9,15,27,33,30,14,13,10,34,50,16,54,46,73,16,4,4,2,1,8,14,59,19,0,59,14,15,3,10,74,26,61.0,19.0,20.0,76.0,5.0,2.0,False,1.0,0.0,871.0,871.0,871.0,False,False,0.0,False,1,2.3243135171149443
541,877,Condo for sale,"4959, Rue Jean-Talon Ouest, apt. 617, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",700000,45.497098,-73.6498203,8.0,9.0,4.0,3.0,9.0,0.0,0.0,8.0,7.0,8,4.0,9.0,6.0,9.0,5.0,9.0,4.0,2017.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,66.0,7.0,2.0,False,2.0,0.0,1419.0,1419.0,1419.0,False,True,2.0,True,1,4.115034081466956
542,878,Condo for sale,"5447, Avenue de l'Esplanade, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End",749000,45.52317023,-73.60020328,10.0,10.0,10.0,10.0,2.0,7.0,7.0,10.0,10.0,10,10.0,10.0,8.0,10.0,10.0,9.0,7.0,1900.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,96.0,8.0,3.0,False,2.0,0.0,1292.0,1292.0,1292.0,False,False,0.0,False,1,2.0761504189761237
543,879,Condo for sale,"2475, Rue des Harfangs, apt. 204, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc",529000,45.51045922,-73.70673566,6.0,7.0,3.0,8.0,7.0,0.0,9.0,3.0,5.0,10,2.0,8.0,10.0,6.0,5.0,6.0,6.0,1995.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,38.0,9.0,2.0,False,2.0,0.0,1009.0,1009.0,1009.0,False,True,2.0,True,1,8.490758544102363
544,880,Condo for sale,"3470, Rue Simpson, apt. 1105, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",260000,45.49812439,-73.58345497,10.0,10.0,10.0,7.0,4.0,6.0,4.0,9.0,10.0,10,10.0,10.0,6.0,10.0,10.0,10.0,6.0,1972.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,90.0,5.0,1.0,False,1.0,0.0,538.0,538.0,538.0,False,False,0.0,False,1,1.3472397615141922
545,886,Condo for sale,"1450, boulevard René-Lévesque Ouest, apt. 3303, Montréal (Ville-Marie), Neighbourhood Central",1690000,45.49460622,-73.57384681,10.0,10.0,10.0,4.0,4.0,7.0,1.0,7.0,10.0,10,10.0,10.0,10.0,10.0,10.0,10.0,5.0,2017.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,97.0,10.0,3.0,False,2.0,1.0,1432.0,1432.0,1432.0,False,True,1.0,True,1,2.190549510900914
546,889,Condo for sale,"433, boulevard Saint-Joseph Ouest, apt. 12, Montréal (Outremont)",398000,45.517159,-73.596457,10.0,10.0,10.0,10.0,3.0,6.0,5.0,10.0,10.0,10,10.0,10.0,8.0,10.0,10.0,9.0,8.0,1939.0,23954,2,6254,6,29,19,9,15,27,33,30,14,13,10,34,50,16,54,46,73,16,4,4,2,1,8,14,59,19,0,59,14,15,3,10,74,26,61.0,19.0,20.0,93.0,4.0,1.0,False,1.0,0.0,817.0,817.0,817.0,False,False,0.0,False,1,1.4071432341935342
547,892,Condo for sale,"5323, Rue Gabriele-Frascadore, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",349000,45.61268041,-73.53364185,5.0,6.0,3.0,4.0,8.0,0.0,10.0,7.0,3.0,7,3.0,7.0,8.0,5.0,4.0,5.0,3.0,2013.0,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,44.0,9.0,3.0,False,1.0,0.0,1114.0,1114.0,1114.0,False,False,1.0,False,1,13.02825094090412
548,893,Condo for sale,"6501, boulevard Maurice-Duplessis, apt. 406, Montréal (Montréal-Nord)",244900,45.61731,-73.615544,6.0,6.0,4.0,5.0,8.0,0.0,3.0,9.0,9.0,9,3.0,9.0,10.0,8.0,4.0,8.0,4.0,2013.0,84234,0,7637,12,59,24,7,7,2,37,28,15,12,9,28,42,30,28,72,28,52,11,4,3,2,8,5,77,10,0,15,13,23,18,31,58,42,67.0,8.0,25.0,53.0,6.0,2.0,False,1.0,0.0,967.0,967.0,967.0,False,False,0.0,True,1,12.61086664537924
549,894,Condo for sale,"3300, Avenue Troie, apt. 903, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",639000,45.496047,-73.616972,10.0,10.0,5.0,7.0,7.0,4.0,6.0,9.0,7.0,10,5.0,10.0,8.0,10.0,8.0,10.0,9.0,2013.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,80.0,6.0,2.0,False,2.0,0.0,1100.0,1100.0,1100.0,False,False,1.0,True,1,1.748670213753879
550,895,Condo for sale,"370, Rue Le Moyne, apt. 301, Montréal (Ville-Marie), Neighbourhood Old Montréal",1048000,45.501046,-73.557116,10.0,10.0,10.0,7.0,5.0,10.0,5.0,9.0,3.0,10,10.0,10.0,6.0,10.0,10.0,10.0,4.0,1860.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,90.0,9.0,2.0,False,1.0,1.0,1818.0,1818.0,1818.0,False,False,0.0,True,1,3.218114268736038
551,896,Condo for sale,"2600, Avenue Bennett, apt. 210, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Hochelaga-Maisonneuve",349000,45.557761,-73.547913,7.0,7.0,5.0,9.0,7.0,4.0,3.0,7.0,8.0,10,4.0,10.0,10.0,9.0,6.0,9.0,7.0,1989.0,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,58.0,4.0,1.0,False,1.0,0.0,1010.0,1010.0,1010.0,False,False,0.0,False,1,7.091134384868492
552,897,Condo for sale,"1280, Rue Saint-Jacques, apt. 302, Montréal (Ville-Marie), Neighbourhood Central",649000,45.49450781,-73.56676321,10.0,10.0,10.0,7.0,6.0,6.0,4.0,9.0,7.0,10,10.0,10.0,8.0,10.0,10.0,10.0,4.0,2006.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,91.0,6.0,3.0,False,2.0,0.0,1150.0,1150.0,1150.0,False,True,1.0,True,1,2.6861010044090277
553,898,Condo for sale,"15500, Rue Sherbrooke Est, apt. 42, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Pointe-aux-Trembles",229000,45.69057412,-73.49718961,4.0,3.0,1.0,7.0,10.0,1.0,2.0,9.0,9.0,9,1.0,4.0,6.0,3.0,6.0,6.0,6.0,2004.0,106743,0,2515,7,38,25,12,17,8,28,32,17,15,8,34,43,23,64,36,13,28,31,14,11,3,26,24,47,3,0,16,17,25,18,24,76,24,71.0,16.0,13.0,11.0,5.0,2.0,False,1.0,0.0,944.0,944.0,944.0,False,False,1.0,True,1,22.124159239570997
554,900,Condo for sale,"5167, Rue Sherbrooke Ouest, apt. PH, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",1097778,45.47565179,-73.60754387,10.0,10.0,7.0,4.0,8.0,6.0,0.0,10.0,10.0,8,5.0,10.0,10.0,10.0,8.0,10.0,5.0,2020.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,88.0,6.0,2.0,False,2.0,0.0,1597.0,1597.0,1597.0,False,False,0.0,False,1,3.2972708681880247
555,901,Condo for sale,"709, Avenue Champagneur, Montréal (Outremont)",750000,45.52109,-73.611124,10.0,10.0,9.0,8.0,3.0,6.0,5.0,10.0,9.0,10,7.0,10.0,9.0,10.0,9.0,9.0,8.0,1921.0,23954,2,6254,6,29,19,9,15,27,33,30,14,13,10,34,50,16,54,46,73,16,4,4,2,1,8,14,59,19,0,59,14,15,3,10,74,26,61.0,19.0,20.0,82.0,8.0,2.0,False,1.0,1.0,1105.0,1105.0,1105.0,False,False,0.0,False,0,2.0997391216279975
556,902,Condo for sale,"2251, Avenue Girouard, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",459000,45.472233,-73.610935,9.0,10.0,7.0,3.0,7.0,6.0,2.0,9.0,9.0,9,5.0,10.0,10.0,10.0,7.0,9.0,6.0,1930.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,87.0,10.0,3.0,False,2.0,0.0,1951.0,1951.0,1951.0,False,False,1.0,True,0,3.730842419726843
557,903,Condo for sale,"1700, Avenue du Docteur-Penfield, apt. 26, Montréal (Ville-Marie), Neighbourhood Central West",575000,45.49494937,-73.58931959,10.0,10.0,9.0,5.0,7.0,5.0,5.0,8.0,10.0,10,9.0,10.0,10.0,10.0,10.0,10.0,7.0,1928.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,75.0,8.0,3.0,False,2.0,0.0,1700.0,1700.0,1700.0,False,False,1.0,False,0,1.2688722499889724
558,905,Condo for sale,"1601, Rue Viola-Desmond, apt. 429, Montréal (LaSalle)",399000,45.44914805,-73.60566908,7.0,9.0,4.0,5.0,8.0,2.0,2.0,6.0,3.0,9,3.0,9.0,4.0,7.0,5.0,9.0,4.0,2018.0,76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,53.0,6.0,2.0,False,2.0,0.0,725.0,725.0,725.0,False,False,1.0,True,1,6.189364387313477
559,906,Condo for sale,"1183, Croissant du Collège, apt. 203, Montréal (LaSalle)",299000,45.438058,-73.603939,5.0,6.0,2.0,6.0,9.0,0.0,10.0,2.0,2.0,8,2.0,9.0,4.0,5.0,6.0,5.0,6.0,1987.0,76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,23.0,5.0,2.0,False,1.0,0.0,1016.0,1016.0,1016.0,False,False,1.0,True,1,7.40833689093736
560,907,Condo for sale,"1280, Rue Saint-Jacques, apt. 707, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia",419000,45.49425491,-73.56683493,10.0,10.0,10.0,8.0,5.0,6.0,0.0,8.0,6.0,10,10.0,10.0,8.0,10.0,10.0,10.0,6.0,2006.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,91.0,5.0,2.0,False,1.0,0.0,690.0,690.0,690.0,False,False,0.0,False,1,2.692865797672986
561,908,Condo for sale,"3888, Avenue du Parc-La Fontaine, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",740000,45.523555,-73.570283,10.0,10.0,10.0,10.0,5.0,7.0,5.0,8.0,9.0,10,10.0,10.0,9.0,10.0,10.0,9.0,10.0,1910.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,92.0,6.0,3.0,False,2.0,0.0,1220.0,1220.0,1220.0,False,False,0.0,False,1,3.0268394701368324
562,909,Condo for sale,"5600, Rue Briand, apt. 201, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard",409000,45.4632774,-73.59655202,8.0,9.0,5.0,8.0,8.0,5.0,0.0,8.0,8.0,10,5.0,10.0,10.0,8.0,6.0,8.0,5.0,2009.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,60.0,6.0,3.0,False,1.0,0.0,906.0,906.0,906.0,False,False,1.0,True,1,4.591676459369773
563,910,Condo for sale,"151, Rue de la Rotonde, apt. 2804, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",648000,45.47444815,-73.53861787,6.0,5.0,3.0,5.0,10.0,0.0,9.0,1.0,3.0,8,4.0,6.0,2.0,5.0,4.0,6.0,3.0,2019.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,29.0,5.0,2.0,False,2.0,0.0,826.0,826.0,826.0,False,True,1.0,True,1,5.719368230095592
564,912,Condo for sale,"1000, Rue de la Commune Est, apt. 507, Montréal (Ville-Marie), Neighbourhood Old Montréal",769000,45.51441547,-73.54763666,10.0,10.0,8.0,7.0,8.0,3.0,0.0,2.0,2.0,9,8.0,8.0,5.0,6.0,9.0,9.0,4.0,1920.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,51.0,9.0,2.0,False,2.0,0.0,1428.0,1428.0,1428.0,True,True,1.0,True,1,4.082563386253209
565,915,Condo for sale,"7380, Rue Saint-Hubert, apt. 303, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",599000,45.54201172,-73.61612547,10.0,10.0,9.0,10.0,4.0,6.0,2.0,9.0,9.0,9,10.0,10.0,9.0,10.0,9.0,10.0,3.0,1955.0,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,89.0,8.0,2.0,False,1.0,0.0,1401.0,1401.0,1401.0,False,False,0.0,False,1,4.395051340341181
566,916,Condo for sale,"1228, Rue des Bassins, apt. 703, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",339000,45.49094096,-73.55880733,10.0,10.0,8.0,10.0,6.0,5.0,0.0,6.0,3.0,10,8.0,10.0,8.0,10.0,9.0,9.0,7.0,2020.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,70.0,4.0,1.0,False,1.0,0.0,445.0,445.0,445.0,False,True,0.0,False,1,3.416591576398356
567,918,Condo for sale,"833, Rue Saint-Timothée, Montréal (Ville-Marie), Neighbourhood Central",539000,45.514291,-73.551215,10.0,10.0,10.0,9.0,5.0,6.0,0.0,4.0,3.0,10,10.0,9.0,6.0,10.0,10.0,10.0,4.0,2003.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,79.0,6.0,2.0,False,1.0,0.0,1172.0,1172.0,1172.0,False,False,1.0,True,1,3.8107477480382346
568,920,Condo for sale,"5372, Rue Gabriele-Frascadore, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",339000,45.61242942,-73.53321583,5.0,6.0,3.0,4.0,8.0,0.0,10.0,7.0,3.0,7,3.0,7.0,8.0,5.0,4.0,5.0,3.0,2014.0,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,44.0,8.0,3.0,False,1.0,0.0,1117.0,1117.0,1117.0,False,False,0.0,False,1,13.015343356132501
570,923,Condo for sale,"10150, Avenue du Bois-de-Boulogne, apt. 402, Montréal (Ahuntsic-Cartierville), Neighbourhood Nouveau Bordeaux",275000,45.536514,-73.67024,7.0,9.0,4.0,3.0,7.0,0.0,8.0,9.0,3.0,8,4.0,8.0,9.0,8.0,5.0,8.0,5.0,1985.0,134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,59.0,6.0,2.0,False,1.0,0.0,941.0,941.0,941.0,False,False,1.0,True,1,6.649213227703388
571,924,Condo for sale,"380, Chemin de la Rive-Boisée, apt. 703, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/Central East",368000,45.49769627,-73.85312627,5.0,4.0,2.0,4.0,9.0,2.0,9.0,7.0,5.0,7,4.0,8.0,6.0,5.0,4.0,4.0,6.0,1989.0,69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,40.0,6.0,2.0,False,1.0,0.0,890.0,890.0,890.0,False,False,1.0,True,1,19.890041293440383
572,925,Condo for sale,"11115, boulevard Cavendish, apt. 603, Montréal (Saint-Laurent), Neighbourhood Others",385000,45.50080824,-73.70291766,7.0,9.0,3.0,6.0,10.0,0.0,4.0,4.0,7.0,8,3.0,9.0,5.0,7.0,6.0,9.0,2.0,1992.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,39.0,5.0,2.0,False,1.0,0.0,865.0,865.0,865.0,False,True,1.0,True,1,8.179159420384233
573,926,Condo for sale,"1235, Rue Bishop, apt. 205, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",369900,45.495977,-73.575589,10.0,10.0,10.0,4.0,4.0,7.0,0.0,6.0,9.0,10,10.0,10.0,10.0,10.0,10.0,10.0,4.0,2014.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,98.0,4.0,1.0,False,1.0,0.0,472.0,472.0,472.0,False,True,0.0,True,1,1.9973441572223782
574,927,Condo for sale,"7861, Avenue Salomon-Marion, apt. 8, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Rivière-des-Prairies",249900,45.636393,-73.599147,4.0,4.0,2.0,6.0,9.0,2.0,9.0,9.0,1.0,7,1.0,8.0,6.0,5.0,4.0,5.0,8.0,1984.0,106743,0,2515,7,38,25,12,17,8,28,32,17,15,8,34,43,23,64,36,13,28,31,14,11,3,26,24,47,3,0,16,17,25,18,24,76,24,71.0,16.0,13.0,29.0,6.0,3.0,False,1.0,0.0,1388.0,1388.0,1388.0,False,False,1.0,False,1,14.659719161647851
575,928,Condo for sale,"650, Rue Jean-D'Estrées, apt. 1001, Montréal (Ville-Marie), Neighbourhood Central",498000,45.494772,-73.565363,10.0,10.0,10.0,8.0,4.0,6.0,5.0,9.0,6.0,10,10.0,10.0,10.0,10.0,10.0,10.0,3.0,2006.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,91.0,6.0,2.0,False,1.0,0.0,818.0,818.0,818.0,False,True,1.0,True,1,2.7740510721887226
576,936,Condo for sale,"5246, Avenue Henri-Julien, apt. 1, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End",419000,45.526615,-73.592645,10.0,10.0,10.0,10.0,2.0,6.0,7.0,10.0,9.0,10,10.0,10.0,8.0,10.0,10.0,9.0,4.0,1998.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,95.0,5.0,2.0,False,1.0,0.0,818.0,818.0,818.0,False,False,0.0,False,1,2.4893451175661316
577,937,Condo for sale,"3431, Avenue De Lorimier, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",429000,45.53119365,-73.56366254,10.0,10.0,10.0,10.0,5.0,7.0,2.0,10.0,9.0,10,10.0,10.0,9.0,10.0,9.0,9.0,8.0,1910.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,87.0,7.0,3.0,False,1.0,0.0,1030.0,1030.0,1030.0,False,False,0.0,False,1,3.9966757513056534
578,938,Condo for sale,"2020, boulevard René-Lévesque Ouest, apt. 307, Montréal (Ville-Marie), Neighbourhood Central West",369000,45.489532,-73.578687,10.0,10.0,10.0,4.0,6.0,7.0,0.0,10.0,10.0,10,9.0,9.0,8.0,9.0,10.0,10.0,7.0,2020.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,87.0,4.0,1.0,False,1.0,0.0,453.0,453.0,453.0,False,False,0.0,False,1,2.254242483702472
579,942,Condo for sale,"256, Rue Charlevoix, apt. 402, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne",495000,45.482092,-73.575397,10.0,10.0,9.0,9.0,5.0,6.0,7.0,9.0,5.0,10,10.0,9.0,8.0,10.0,9.0,10.0,5.0,2012.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,83.0,6.0,2.0,False,1.0,0.0,795.0,795.0,795.0,False,False,0.0,False,1,3.0614790502171196
580,943,Condo for sale,"242, Rue Young, apt. 803, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",1100000,45.49329742,-73.5594677,10.0,10.0,9.0,10.0,5.0,5.0,0.0,8.0,3.0,10,9.0,10.0,10.0,10.0,10.0,9.0,3.0,2016.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,82.0,5.0,2.0,False,2.0,0.0,1315.0,1315.0,1315.0,False,True,1.0,True,1,3.261181981730331
581,945,Condo for sale,"4011, Rue Gertrude, apt. 2, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",529000,45.463809,-73.569292,9.0,9.0,5.0,10.0,5.0,6.0,8.0,10.0,5.0,9,4.0,10.0,9.0,10.0,6.0,9.0,7.0,2002.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,87.0,7.0,3.0,False,1.0,1.0,1040.0,1040.0,1040.0,False,False,2.0,False,1,5.057169636456978
582,947,Condo for sale,"680, Rue De Courcelle, apt. 805, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne",499000,45.475058,-73.593723,10.0,10.0,7.0,4.0,7.0,6.0,4.0,10.0,9.0,9,6.0,10.0,8.0,10.0,8.0,9.0,4.0,2011.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,85.0,5.0,2.0,False,1.0,0.0,870.0,870.0,870.0,False,False,1.0,True,1,3.2978688996324435
583,948,Condo for sale,"101, Rue de la Rotonde, apt. 805, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",699000,45.47402659,-73.5399448,6.0,5.0,3.0,5.0,10.0,0.0,8.0,1.0,3.0,8,4.0,6.0,2.0,5.0,4.0,6.0,2.0,2016.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,24.0,7.0,2.0,False,2.0,0.0,1100.0,1100.0,1100.0,True,False,1.0,True,1,5.663815648824288
