,address,lat,long,price,total_area,restaurants,vibrant,cycling_friendly,historic,parks,groceries,pedestrian_friendly,transit_friendly,greenery,year_built,unemployment_rate_2016_,bathrooms,powder_rooms,river_proximity,has_pool,has_garage
1907,"4018, Avenue des Érables, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.532612,-73.565125,479000,905.0,10.0,10.0,10.0,7.0,10,10.0,10.0,9.0,9.0,1999.0,8,1.0,0.0,False,False,False
1908,"2055, Rue du Fort, apt. 507, Montréal (Ville-Marie), Neighbourhood Central West",45.493212,-73.583228,369000,586.0,10.0,10.0,5.0,7.0,10,10.0,10.0,10.0,6.0,1998.0,10,1.0,0.0,False,False,True
1909,"8300 - 6, Rue Ontario Est, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",45.59427804,-73.51464695,245000,1048.0,5.0,3.0,7.0,3.0,7,8.0,6.0,5.0,7.0,2008.0,9,1.0,0.0,False,False,False
1910,"1414, Rue Villeray, apt. 105, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",45.549108,-73.616087,389900,785.0,9.0,8.0,8.0,2.0,8,10.0,10.0,9.0,6.0,2011.0,11,1.0,0.0,False,False,True
1911,"1461, Rue Towers, Montréal (Ville-Marie), Neighbourhood Central West",45.49303342,-73.58185005,875000,1600.0,10.0,10.0,5.0,7.0,10,10.0,10.0,10.0,5.0,1900.0,10,2.0,0.0,False,False,True
1912,"1288, Avenue des Canadiens-de-Montréal, apt. 2514, Montréal (Ville-Marie), Neighbourhood Central West",45.4959128,-73.57048417,558855,622.0,10.0,10.0,4.0,6.0,10,10.0,8.0,10.0,5.0,2016.0,10,1.0,0.0,False,False,True
1913,"1000, Rue Ottawa, apt. 405, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",45.494718,-73.558671,258900,234.0,10.0,9.0,10.0,6.0,10,10.0,10.0,10.0,3.0,2014.0,8,1.0,0.0,False,True,False
1914,"1310, boulevard René-Lévesque Ouest, apt. 505, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",45.496628,-73.572402,789000,980.0,10.0,10.0,4.0,7.0,10,10.0,10.0,10.0,5.0,2018.0,10,2.0,0.0,False,False,False
1915,"937, Avenue Girouard, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",45.46955,-73.604951,449000,1000.0,9.0,5.0,3.0,5.0,10,9.0,10.0,9.0,6.0,1928.0,11,1.0,0.0,False,False,False
1916,"925, boulevard René-Lévesque Est, apt. 307, Montréal (Ville-Marie), Neighbourhood Village",45.515293,-73.556389,219800,447.0,10.0,10.0,9.0,7.0,10,10.0,10.0,10.0,5.0,1995.0,10,1.0,0.0,False,False,False
1917,"300, Avenue des Sommets, apt. 1716, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",45.449847,-73.549282,875000,1320.0,3.0,1.0,7.0,0.0,9,2.0,3.0,5.0,6.0,2005.0,8,2.0,0.0,False,False,True
1918,"4434, Rue De Brébeuf, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.528705,-73.577177,249000,450.0,10.0,10.0,10.0,7.0,10,10.0,10.0,9.0,6.0,1900.0,8,1.0,0.0,False,False,False
1919,"3591, boulevard Gouin Est, apt. 805, Montréal (Montréal-Nord)",45.591601,-73.649763,349000,1075.0,6.0,3.0,6.0,3.0,9,9.0,8.0,7.0,5.0,1992.0,12,2.0,0.0,False,True,True
1920,"370, Rue Saint-André, apt. 308, Montréal (Ville-Marie), Neighbourhood Old Montréal",45.513311,-73.550495,519000,834.0,10.0,10.0,8.0,7.0,9,10.0,10.0,10.0,4.0,2011.0,10,1.0,0.0,False,True,False
1921,"88, Rue Gary-Carter, apt. 218, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",45.53512486,-73.62268455,405000,576.0,10.0,7.0,9.0,5.0,10,9.0,10.0,9.0,7.0,2017.0,11,1.0,0.0,False,False,False
1922,"100, Rue Berlioz, apt. 1701, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",45.466726,-73.5384,439000,870.0,5.0,2.0,8.0,0.0,7,9.0,5.0,6.0,8.0,1987.0,8,1.0,0.0,True,True,True
1923,"738, Rue Saint-Paul Ouest, apt. 1101, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia",45.498146,-73.559033,898000,1133.0,10.0,10.0,7.0,9.0,8,9.0,10.0,10.0,6.0,2015.0,10,2.0,0.0,False,True,True
