,Actual,Predicted
154,625000.0,572171.1848703995
155,299000.0,397819.08986808115
156,575000.0,790872.1557758001
157,318000.0,361607.6232803307
158,419900.0,246786.98242560774
159,838000.0,862558.9959453528
160,249000.0,416601.20385142905
161,469000.0,437461.47140843736
162,480000.0,447485.22600163147
163,339000.0,274557.22052908794
164,289000.0,344819.89700000756
165,1195000.0,839970.7593357966
166,480000.0,409122.14541520877
167,577000.0,635444.0032813523
168,599000.0,440286.6667292152
169,1095000.0,835179.702115396
170,359000.0,446191.2913054441
171,439000.0,458784.7929069814
172,259000.0,308446.19416743773
173,399000.0,439373.996980587
174,429000.0,541311.953474255
175,549000.0,529649.0830188208
176,499700.0,501296.5675626645
177,349900.0,381267.41172586684
178,425000.0,374777.2873425047
179,729000.0,562971.6085952196
180,695000.0,682839.8309035096
181,548000.0,487869.86871649884
182,799500.0,813019.4033676602
183,491900.0,529458.250448915
184,649999.0,569167.6204182474
185,419000.0,394650.8249056332
186,744000.0,548597.1487323021
187,429000.0,408518.774953856
188,517000.0,691648.6607279596
189,275000.0,260434.328626564
190,634000.0,620832.4060198343
191,1100000.0,822235.3439425076
192,799000.0,868449.4346901698
193,199900.0,286308.70263001183
194,295000.0,341915.0397362546
195,799000.0,649055.3310594226
196,495000.0,465603.8684788799
197,998000.0,884937.4465404875
198,485000.0,365019.5851981526
199,439000.0,430022.5501975834
200,399000.0,506591.88346243056
201,399000.0,424386.80557453213
202,399000.0,487995.5989607109
203,649900.0,764035.8095585611
204,468798.0,535733.6747570931
205,288000.0,351624.85506113304
206,549000.0,480448.74197683076
207,839000.0,853400.2967885323
208,727000.0,706645.6150562253
209,329000.0,347062.2769603188
210,354900.0,243926.0817682763
211,899000.0,751998.4228881886
212,1195000.0,843426.7583091811
213,1198000.0,860078.5895614345
214,279900.0,237981.44045474392
215,679900.0,653986.6988698225
216,249000.0,342811.76908847585
217,319900.0,326846.3151330468
218,309900.0,305816.42629744764
219,199900.0,306815.2430344734
220,639000.0,583000.65810818
221,549800.0,748090.3463017307
222,380000.0,465734.73329547746
223,399000.0,346947.8972791
224,595000.0,498492.32099588553
225,349900.0,340896.08888392034
226,649000.0,678075.8374411031
227,389900.0,476449.9964131402
228,405000.0,317072.1391070498
229,800000.0,689570.0192333243
230,495000.0,817734.5304863404
231,439500.0,450494.4838140134
232,449000.0,459389.5158971163
233,374900.0,478304.55445815343
234,579000.0,511368.1198102052
235,539000.0,732196.7205857958
236,385000.0,474889.07526033535
237,475000.0,467420.44408720825
238,850000.0,759211.1601622871
239,799000.0,762497.2655119465
240,425000.0,458159.0107188126
241,657000.0,557515.8497763595
242,309000.0,234999.98840455106
243,275000.0,292212.40719910373
244,460000.0,479663.2388851503
245,1190000.0,902821.708312674
246,349000.0,531906.4921027756
247,545000.0,470724.4337141196
248,395000.0,377365.3951438598
249,385000.0,421703.6693306295
250,499000.0,461882.08766916266
251,649900.0,751591.3970111408
252,279000.0,365403.5946212496
253,565000.0,771046.067499565
254,369000.0,333611.696707814
255,469000.0,424165.3235885628
256,509000.0,601515.7389281951
