,title,address,price,lat,long,Restaurants,Shopping,Vibrant,Cycling friendly,Car friendly,Historic,Quiet,Elementary Schools,High Schools,Parks,Nightlife,Groceries,Daycares,Pedestrian friendly,Cafes,Transit friendly,Greenery,rooms,bedrooms,bathroom,Condominium type,Net area,Year built,Parking (total),Population 2016 ,Population variation between 2011 2016 ,Population density ,Unemployment rate 2016 ,"Less than $50,000 (%)","Between $50,000 and $80,000 (%)","Between $80,000 and $100,000 (%)","Between $100,000 and $150,000 (%)","More than $150,000 (%)",1-person households (%),2-person households (%),3-person households (%),4-person households (%),5-person or more households (%),Couples without children at home (%),Couples with children at home (%),Single-parent families (%),Owners (%),Renters (%),Before 1960 (%),Between 1961 and 1980 (%),Between 1981 and 1990 (%),Between 1991 and 2000 (%),Between 2001 and 2010 (%),Between 2011 and 2016 (%),Single-family homes (%),Semi-detached or row houses (%),Buildings with less than 5 floors (%),Buildings with 5 or more floors (%),Mobile homes (%),University (%),College (%),Secondary (high) school (%),Apprentice or trade school diploma (%),No diploma (%),Non-immigrant population (%),Immigrant population (%),French (%),English (%),Others languages (%),bathrooms,Pool,Additional features,walk_score,bedroom,Gross area,powder room,Building style,Lot area,Fireplace/Stove,in basement,Use of property,Number of units,Residential units,Main unit,Potential gross revenue,powder rooms,Intergenerational,Building area (at ground level),room,Available area,Residential unit,bedrooms in basement,Zoning,Parking (excluded from the price),bedroom in basement,< 15 years (%),15 to 24 years (%),25 to 44 years (%),45 to 64 years (%),> 65 years (%)
1373,Condo for sale,"185, Rue du Séminaire, apt. 1207, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$400,000",45.4909150000,-73.5607790000,10,10,9,9,5,6,7,7,4,10,9,10,8,10,10,9,5,5,,1,Divided,588 sqft,2013,Garage (1),80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,"Heated, Indoor",Access to a canal,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,Duplex for sale,"4090 - 4092, Avenue Laval, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal","$779,000",45.5194680000,-73.5781470000,10,10,10,10,3,7,7,10,7,10,10,10,9,10,10,9,7,,,,,,1885,,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,,96,,,,Attached,,,,Residential only,Residential (2),"1 x 4 ½, 1 x 5 ½","4 rooms, 1 bedroom, 1 bathroom","$45,600",,,,,,,,,,,,,,,
1375,House for sale,"63Z, Rue Beaudoin, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$1,150,000",45.4728790000,-73.5823330000,10,10,5,10,6,6,8,8,6,10,6,9,4,10,7,9,5,10,3,1,,,2002,Garage (1),80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,Basement 6 feet or +,75,,,1,"Two or more storey, Attached",,,(1,,,,,,,,,,,,,,,,,,,,
1376,House for sale,"7352, Rue Rosaire-Gendron, Montréal (LaSalle)","$759,000",45.4392197800,-73.6149779000,6,7,3,5,8,0,10,5,1,9,3,9,6,6,5,6,3,13,6,,,,2017,Garage (2),76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,4,,,58,,,1,"Two or more storey, Attached","2,018 sqft",,(1,,,,,,,,,,,,,,,,,,,,
1377,Condo for sale,"724, 2e Avenue, Montréal (Lachine), Neighbourhood East","$199,000",45.4425094000,-73.6657913300,5,5,3,2,9,4,8,10,5,8,4,6,10,6,5,7,4,3,,1,Divided,,2010,,44489,7,2498,9,48,22,10,12,9,40,29,14,11,5,35,41,24,43,57,44,27,9,7,7,6,15,10,70,6,0,27,16,23,13,21,77,23,59.0,30.0,11.0,,,,39,1,404 sqft,,,,,,,,,,,,,,,,,,,,,,,,,
1378,Condo for sale,"936, Rue Roy Est, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal","$460,000",45.5221530000,-73.5698980000,10,10,10,10,3,7,7,9,10,10,10,10,10,10,10,10,7,5,2,1,Divided,774 sqft,1885,,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,Condo for sale,"1450, Rue Parthenais, apt. 203, Montréal (Ville-Marie), Neighbourhood Central","$274,000",45.5263410000,-73.5500660000,10,10,9,10,5,6,5,10,9,10,9,10,6,10,9,10,4,5,,1,Divided,469 sqft,2012,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,Elevator,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,House for sale,"6782, Rue Saint-Urbain, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Little Italy","$1,695,000",45.5312541100,-73.6147514700,10,10,9,10,4,6,8,9,4,10,8,10,8,10,9,9,5,9,3,1,,,1900,,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,Basement 6 feet or +,89,,,1,"Two or more storey, Attached","2,000 sqft",Fireplace - Other,,,,,,,,,,,,,,,,,,,,,
1381,Condo for sale,"40, Avenue Querbes, apt. 6, Montréal (Outremont)","$449,000",45.5171860000,-73.5974640000,10,10,10,9,3,6,7,10,10,8,10,10,8,10,10,9,8,5,2,1,Divided,870 sqft,1921,,23954,2,6254,6,29,19,9,15,27,33,30,14,13,10,34,50,16,54,46,73,16,4,4,2,1,8,14,59,19,0,59,14,15,3,10,74,26,61.0,19.0,20.0,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,Condo for sale,"1220, Rue Crescent, apt. 210, Montréal (Ville-Marie), Neighbourhood Golden Square Mile","$578,888",45.4965050000,-73.5749280000,10,10,10,4,5,7,0,6,9,10,10,10,8,10,10,10,3,8,4,,Divided,844 sqft,2015,,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,,Elevator,98,,,,,,,(2,,,,,,,,,,,,,,,,,,,,
1383,Condo for sale,"6740, Avenue De Gaspé, apt. 202, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Little Italy","$588,000",45.5337480000,-73.6112160000,10,10,9,10,3,6,7,10,6,10,9,10,10,10,10,9,6,6,,1,Divided,901 sqft,2003,Garage (1),139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,House for sale,"1094, Rue Jacqueline-Sicotte, Montréal (LaSalle)","$749,000",45.4314340000,-73.6118840000,5,6,3,6,7,0,9,6,5,8,3,8,8,6,5,6,5,12,4,,,,2018,,76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,2,,Basement 6 feet or +,42,,,1,"Two or more storey, Attached",,,,,,,,,,,,,,,,,,,,,,,
