,title,address,price,lat,long,Restaurants,Shopping,Vibrant,Cycling friendly,Car friendly,Historic,Quiet,Elementary Schools,High Schools,Parks,Nightlife,Groceries,Daycares,Pedestrian friendly,Cafes,Transit friendly,Greenery,rooms,bedrooms,bathroom,Condominium type,Net area,Year built,Parking (total),Population 2016 ,Population variation between 2011 2016 ,Population density ,Unemployment rate 2016 ,"Less than $50,000 (%)","Between $50,000 and $80,000 (%)","Between $80,000 and $100,000 (%)","Between $100,000 and $150,000 (%)","More than $150,000 (%)",1-person households (%),2-person households (%),3-person households (%),4-person households (%),5-person or more households (%),Couples without children at home (%),Couples with children at home (%),Single-parent families (%),Owners (%),Renters (%),Before 1960 (%),Between 1961 and 1980 (%),Between 1981 and 1990 (%),Between 1991 and 2000 (%),Between 2001 and 2010 (%),Between 2011 and 2016 (%),Single-family homes (%),Semi-detached or row houses (%),Buildings with less than 5 floors (%),Buildings with 5 or more floors (%),Mobile homes (%),University (%),College (%),Secondary (high) school (%),Apprentice or trade school diploma (%),No diploma (%),Non-immigrant population (%),Immigrant population (%),French (%),English (%),Others languages (%),bathrooms,Pool,Additional features,walk_score,bedroom,Gross area,powder room,Building style,Lot area,Fireplace/Stove,in basement,Use of property,Number of units,Residential units,Main unit,Potential gross revenue,powder rooms,Intergenerational,Building area (at ground level),room,Available area,Residential unit,bedrooms in basement,Zoning,Parking (excluded from the price),bedroom in basement,< 15 years (%),15 to 24 years (%),25 to 44 years (%),45 to 64 years (%),> 65 years (%)
2322,Condo for sale,"2145, Avenue Desjardins, apt. 1, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Hochelaga-Maisonneuve","$269,000",45.5520420000,-73.5429860000,8,7,5,10,6,6,8,10,10,8,5,10,8,10,6,8,5,4,,1,Divided,746 sqft,2006,,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,,,,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2323,House for sale,"4397, boulevard Décarie, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce","$1,595,000",45.4804444600,-73.6193335700,9,9,5,3,7,5,5,8,8,10,4,9,6,10,6,10,10,9,4,,,,2008,Garage (2),166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,3,,Basement 6 feet or +,81,,,1,"Two or more storey, Attached","3,550 sqft",Gas fireplace,(1,,,,,,,,,,,,,,,,,,,,
2324,Quadruplex for sale,"3923 - 3929, boulevard LaSalle, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun","$885,000",45.4644900000,-73.5650760000,9,9,5,10,7,6,8,9,7,10,5,10,8,10,6,9,7,,,,,,1922,,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,,,,81,,,,Attached,"2,356 sqft",,,Residential only,Residential (4),"3 x 2 ½, 1 x 4 ½","2 rooms, 1 bedroom, 1 bathroom","$48,840",,,,,,,,,,,,,,,
2325,Condo for sale,"1045, Rue Wellington, apt. 701, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$389,000",45.4937850000,-73.5574296300,10,10,9,10,6,6,0,8,3,10,9,10,10,9,10,10,3,5,2,1,Divided,634 sqft,2013,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,Elevator,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326,Condo for sale,"6342, Rue Briand, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard","$299,000",45.4554580000,-73.5936280000,8,8,5,8,5,5,9,10,10,10,6,10,8,10,6,9,7,4,2,1,Undivided,,1920,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,67,,837 sqft,,,,,,,,,,,,,,,,,,,,,,,,,
2327,Condo for sale,"12275, Rue René-Chopin, apt. 1, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Rivière-des-Prairies","$229,000",45.6327250000,-73.6018450000,4,5,2,6,8,2,10,9,1,6,2,9,8,5,4,5,5,6,2,1,Divided,,1993,Garage (1),106743,0,2515,7,38,25,12,17,8,28,32,17,15,8,34,43,23,64,36,13,28,31,14,11,3,26,24,47,3,0,16,17,25,18,24,76,24,71.0,16.0,13.0,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,Condo for sale,"12275, Rue René-Chopin, apt. 1, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Rivière-des-Prairies","$229,000",45.6327250000,-73.6018450000,4,5,2,6,8,2,10,9,1,6,2,9,8,5,4,5,5,6,2,1,Divided,,1993,Garage (1),106743,0,2515,7,38,25,12,17,8,28,32,17,15,8,34,43,23,64,36,13,28,31,14,11,3,26,24,47,3,0,16,17,25,18,24,76,24,71.0,16.0,13.0,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,Condo for sale,"260, Rue Sherbrooke Est, apt. 123, Montréal (Ville-Marie), Neighbourhood Central","$429,000",45.5154460000,-73.5684180000,10,10,10,10,3,7,2,9,8,10,10,10,9,10,10,10,7,6,,1,Divided,,"1888, Historic",Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,,94,1,720 sqft,,,,,,,,,,,,,,,,,,,,,,,,,
2330,Condo for sale,"4300, Rue Saint-Ambroise, apt. 212, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$830,000",45.4735330000,-73.5815330000,10,10,5,10,6,6,8,8,7,10,6,10,4,10,7,9,5,6,2,1,Divided,"1,171 sqft",2004,Garage (2),80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,"Heated, Inground, Indoor","Located on a canal, Navigable body of water, Elevator",77,,,,,,,,,,,,,,,,,,,,,"Garage (1 - $50,000)",,,,,,
2331,Condo for sale,"1625, Avenue Lincoln, apt. 1105, Montréal (Ville-Marie), Neighbourhood Central West","$459,000",45.4959070000,-73.5807630000,10,10,10,5,4,7,0,7,10,8,10,10,9,10,10,10,3,5,2,,Divided,971 sqft,1989,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,,Elevator,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
2332,Condo for sale,"5373, 12e Avenue, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont","$434,800",45.5515260000,-73.5719440000,9,9,8,9,4,5,6,10,7,10,7,10,8,10,7,9,4,4,2,1,Divided,879 sqft,2012,Driveway (1),139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
2333,Condo for sale,"1136, Rue de Bellechasse, Montréal (Rosemont/La Petite-Patrie), Neighbourhood La Petite-Patrie","$389,000",45.5370536600,-73.5976773800,10,10,10,10,4,6,2,10,10,10,9,10,8,10,9,9,6,5,2,1,Undivided,850 sqft,1905,,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
2334,Condo for sale,"250, Chemin de la Pointe-Sud, apt. 802, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs","$968,000",45.4478851400,-73.5538628700,2,3,1,6,10,0,9,7,0,8,0,2,4,3,1,5,3,10,3,,Divided,"1,412 sqft",2009,Garage (2),69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,2,"Heated, Inground, Indoor","Located on a fleuve (river), Adapted for reduced mobility, Elevator",10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,Triplex for sale,"6120 - 6122, Rue de Mériel, Montréal (Saint-Léonard)","$759,000",45.6002180000,-73.6042480000,6,7,3,5,7,0,9,8,1,6,3,9,8,7,6,5,5,,,,,,1973,"Driveway (2), Garage (1)",78305,3,5813,11,48,27,9,10,5,30,29,16,15,9,30,49,21,35,65,14,64,8,5,6,2,6,3,83,8,0,22,16,23,14,26,51,49,44.0,22.0,34.0,,,Basement 6 feet or +,39,,,,Semi-detached,"3,360 sqft",,,Residential only,Residential (3),"1 x 3 ½, 2 x 5 ½","3 rooms, 1 bedroom, 1 bathroom","$31,140",,,"1,280 sqft",,,,,,,,,,,,
2336,Condo for sale,"722, 2e Avenue, apt. B, Montréal (Lachine), Neighbourhood East","$287,000",45.4427938300,-73.6657015400,5,5,3,2,9,4,8,10,5,8,4,6,10,6,5,7,4,5,2,1,Divided,851 sqft,2010,"Driveway (1), Garage (1)",44489,7,2498,9,48,22,10,12,9,40,29,14,11,5,35,41,24,43,57,44,27,9,7,7,6,15,10,70,6,0,27,16,23,13,21,77,23,59.0,30.0,11.0,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,Triplex for sale,"2282 - 2286, Avenue du Mont-Royal Est, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal","$1,095,000",45.5372470600,-73.5702963000,10,10,10,10,5,6,5,9,8,10,10,10,10,10,9,9,4,,,,,,1924,Driveway (2),104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,,91,,,,Attached,"2,112 sqft",,,Residential and commercial,"Residential (2), Commercial (1)",2 x 5 ½,"5 rooms, 2 bedrooms, 1 bathroom","$88,200",,,,,"1,130 sqft",,,,,,,,,,
2338,House for sale,"18282, Rue d'Amalfi, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/West","$649,000",45.4554900000,-73.8865003900,3,3,1,4,9,0,10,7,0,6,1,3,6,3,2,2,6,14,5,,,,1999,Garage (1),69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,2,,,20,,,1,"Two or more storey, Detached","4,166 sqft",,(2,,,,,,,,,,,,,,,,,,,,
2339,Condo for sale,"3430, Rue Saint-Denis, apt. 400, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal","$430,000",45.5169980000,-73.5681730000,10,10,10,10,6,7,0,9,9,10,10,10,8,10,10,10,5,6,,1,Divided,489 sqft,1969,,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2340,Condo for sale,"199, Rue de la Rotonde, apt. PH1-06, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs","$1,149,000",45.4737570000,-73.5383060000,6,6,3,6,10,0,8,1,3,8,4,7,4,6,4,7,2,6,3,,Divided,"1,468 sqft",2012,Garage (2),69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,2,"Heated, Inground, Indoor","Located on a fleuve (river), Elevator",29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,House for sale,"4570, Rue de Namur, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/Central East","$619,000",45.4989780000,-73.8383440000,4,3,1,5,8,0,8,6,5,8,3,9,5,4,2,3,7,8,3,,,,1964,"Driveway (4), Garage (2)",69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,2,,Basement 6 feet or +,31,,,1,"Bungalow, Detached","7,076 sqft",Gas fireplace,,,,,,,,,,,,,,,,,,,,,
2342,House for sale,"4767, Rue Villeret, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/West","$683,000",45.4553400000,-73.8968000000,3,2,1,4,9,0,10,6,0,6,1,1,2,2,1,2,5,11,3,,,,2001,Garage (1),69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,2,Inground,Basement 6 feet or +,12,,,1,"Two or more storey, Detached","5,258 sqft",Gas fireplace,,,,,,,,,,,,,,,,,,,,,
2343,Condo for sale,"1190, Rue MacKay, apt. 905, Montréal (Ville-Marie), Neighbourhood Golden Square Mile","$478,000",45.4952140000,-73.5753530000,10,10,10,4,4,7,0,7,9,10,10,10,10,10,10,10,5,6,,1,Divided,507 sqft,2019,Garage (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,Elevator,98,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,Condo for sale,"5350, Place De Jumonville, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Cité-Jardin","$419,900",45.5741322600,-73.5536395600,6,7,3,5,8,2,8,6,9,8,4,8,6,7,5,7,8,8,2,1,Divided,"1,125 sqft",1987,Garage (1),139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,,58,,,1,,,Wood fireplace,,,,,,,,,,,,,,,,,,,,,
2345,Condo for sale,"1614, Rue Atateken, Montréal (Ville-Marie), Neighbourhood Village","$449,900",45.5184680000,-73.5596200000,10,10,10,10,4,7,0,8,7,10,10,10,8,10,10,10,5,6,,1,Divided,"1,302 sqft",1990,Carport (1),87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,,94,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,Condo for sale,"1, Rue De Castelnau Ouest, apt. 501, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray","$479,000",45.5351610000,-73.6203610000,10,10,9,10,6,6,5,10,6,10,8,10,9,10,9,10,4,5,,1,Divided,716 sqft,2014,Garage (1),143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,,,Elevator,88,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,Condo for sale,"6348, Rue Briand, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard","$295,000",45.4554580000,-73.5936280000,8,8,5,8,5,5,9,10,10,10,6,10,8,10,6,9,7,4,2,1,Undivided,,1920,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,67,,839 sqft,,,,,,,,,,,,,,,,,,,,,,,,,
2348,Condo for sale,"6348, Rue Briand, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard","$295,000",45.4554580000,-73.5936280000,8,8,5,8,5,5,9,10,10,10,6,10,8,10,6,9,7,4,2,1,Undivided,,1920,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,67,,839 sqft,,,,,,,,,,,,,,,,,,,,,,,,,
2349,Duplex for sale,"9149 - 9151, 25e Avenue, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Saint-Michel","$489,000",45.5819882500,-73.6198674000,7,7,5,5,6,0,9,10,3,7,4,10,8,10,4,7,3,,,,,,1966,,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,,,,46,,,,Attached,,,,Residential only,Residential (2),2 x 6 ½,"6 rooms, 3 bedrooms, 1 bathroom","$21,300",,,,,,,,,,,,,,,
2350,House for sale,"3844, Rue Drolet, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal","$749,000",45.5189230000,-73.5739540000,10,10,10,10,3,7,6,10,9,10,10,10,6,10,10,10,6,7,3,1,,,1875,,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,Basement 6 feet or +,96,,,1,"Two or more storey, Attached","1,440 sqft",,,,,,,,,,,,,,,,,,,,,,
2351,Duplex for sale,"12 - 14, Rue Jean-Yves, Montréal (L'Île-Bizard/Sainte-Geneviève), Neighbourhood L'Île-Bizard","$344,000",45.4831150000,-73.8812220000,3,3,1,3,9,2,9,8,0,7,3,4,5,3,3,2,8,,,,,,1961,Driveway (4),18413,2,778,7,30,19,10,20,21,25,31,18,18,9,34,50,16,74,26,13,30,27,15,11,4,61,8,27,2,2,33,21,22,11,13,75,25,53.0,35.0,12.0,,,Basement 6 feet or +,11,,,,Detached,"7,387 sqft",,,Residential only,Residential (2),2 x 4 ½,"4 rooms, 2 bedrooms, 1 bathroom","$18,300",,,,,,,,,,,,,,,
2352,House for sale,"1080, Avenue Rockland, apt. 100, Montréal (Outremont)","$999,000",45.5188940000,-73.6226550000,9,10,7,6,6,5,4,9,9,10,6,10,8,8,7,9,6,10,3,,,,2000,Garage (1),23954,2,6254,6,29,19,9,15,27,33,30,14,13,10,34,50,16,54,46,73,16,4,4,2,1,8,14,59,19,0,59,14,15,3,10,74,26,61.0,19.0,20.0,2,,,66,,,,"Two or more storey, Attached",,Gas fireplace,(1,,,,,,2,,,,,,,,,,,,,,
2353,Condo for sale,"1011 - 1021, Rue Saint-Ferdinand, apt. 1021, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$489,000",45.4789270000,-73.5905170000,10,10,7,7,6,6,3,10,10,10,6,10,10,10,8,10,6,6,2,1,Undivided,940 sqft,1915,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,83,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2354,House for sale,"4070, Avenue de Kensington, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce","$759,000",45.4669970000,-73.6261800000,8,8,5,6,6,5,7,10,10,8,4,10,10,10,6,9,7,9,3,1,,,1983,"Driveway (1), Garage (1)",166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,,,,75,,,1,"Two or more storey, Semi-detached","2,559 sqft",,,,,,,,,,,,,,,,,,,,,,
2355,House for sale,"1890, Avenue Lajoie, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges","$2,999,999",45.5123770000,-73.6178870000,9,10,7,6,5,4,8,10,10,10,6,8,9,10,7,9,10,11,4,,,,1952,,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,4,"Heated, Inground, Indoor",,57,,,1,"Two or more storey, Detached","7,062 sqft",,(1,,,,,,,,,,,,,,,,,,,,
2356,Condo for sale,"5972, 25e Avenue, Montréal (Rosemont/La Petite-Patrie), Neighbourhood New Rosemont","$349,000",45.5628290000,-73.5738820000,8,8,5,8,6,4,4,10,10,10,5,10,9,10,5,8,7,6,2,1,Divided,,1990,Driveway (1),139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,,57,,944 sqft,,,,,,,,,,,,,,,,,,,,,,,,,
2357,Condo for sale,"1011 - 1021, Rue Saint-Ferdinand, apt. 1019, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$489,000",45.4789270000,-73.5905170000,10,10,7,7,6,6,3,10,10,10,6,10,10,10,8,10,6,5,2,1,Undivided,940 sqft,1915,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,83,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2358,Condo for sale,"1011 - 1021, Rue Saint-Ferdinand, apt. 1017, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$469,000",45.4789270000,-73.5905170000,10,10,7,7,6,6,3,10,10,10,6,10,10,10,8,10,6,6,2,1,Undivided,916 sqft,1915,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,83,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2359,Condo for sale,"1011 - 1021, Rue Saint-Ferdinand, apt. 1015, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$469,000",45.4789270000,-73.5905170000,10,10,7,7,6,6,3,10,10,10,6,10,10,10,8,10,6,5,2,1,Undivided,916 sqft,1915,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,83,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2360,Condo for sale,"1011 - 1021, Rue Saint-Ferdinand, apt. 1013, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$479,000",45.4789270000,-73.5905170000,10,10,7,7,6,6,3,10,10,10,6,10,10,10,8,10,6,6,2,1,Undivided,943 sqft,1915,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,83,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2361,Condo for sale,"11285, Rue Tolhurst, Montréal (Ahuntsic-Cartierville), Neighbourhood Ahuntsic West","$315,000",45.5476848100,-73.6779546600,6,8,3,6,8,4,8,10,6,7,3,7,6,7,4,8,8,5,,1,Divided,719 sqft,1983,Driveway (1),134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,,,,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,Condo for sale,"1011 - 1021, Rue Saint-Ferdinand, apt. 1011, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne","$479,000",45.4789270000,-73.5905170000,10,10,7,7,6,6,3,10,10,10,6,10,10,10,8,10,6,5,2,1,Undivided,943 sqft,1915,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,,,83,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2363,Condo for sale,"3705, Avenue Dupuis, apt. 304-305, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges","$1,095,000",45.4978261500,-73.6267309700,9,9,5,5,5,4,3,10,10,8,6,10,8,10,8,9,8,12,3,,Divided,"1,686 sqft",2008,Garage (2),166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,3,,Elevator,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,House for sale,"4833Z, Avenue de l'Hôtel-de-Ville, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End","$1,285,000",45.5238668700,-73.5880011000,10,10,10,10,2,7,7,10,9,10,10,10,8,10,10,10,8,12,3,,,,Unknown age,,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,2,,,96,,,1,"Two or more storey, Semi-detached","3,520 sqft",,,,,,,,,,,,,,,,,,,,,,
2365,Triplex for sale,"7234 - 7238, boulevard Pie-IX, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Saint-Michel","$699,000",45.5667910400,-73.5927524900,9,9,5,6,8,2,4,9,8,7,5,10,9,10,6,9,6,,,,,,1950,"Driveway (7), Garage (1)",143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,,,,77,,,,Semi-detached,"4,300 sqft",,,Residential only,Residential (3),"1 x 3 ½, 1 x 4 ½, 1 x 5 ½","5 rooms, 3 bedrooms, 1 bathroom","$31,560",,,,,,,,,,,,,,,
2366,Condo for sale,"405, Rue de la Concorde, apt. 2505, Montréal (Ville-Marie), Neighbourhood Central","$485,000",45.5070930000,-73.5708250000,10,10,10,8,4,7,5,9,9,10,10,10,8,10,10,10,3,3,,1,Divided,553 sqft,2016,,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,,,"Adapted for reduced mobility, Elevator",99,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,Condo for sale,"5230, Rue Saint-Denis, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End","$569,000",45.5276420000,-73.5915370000,10,10,10,10,5,6,0,10,9,10,10,10,8,10,10,10,6,8,2,1,Divided,"1,221 sqft",1900,Driveway (1),104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368,Condo for sale,"5230, Rue Saint-Denis, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End","$569,000",45.5276420000,-73.5915370000,10,10,10,10,5,6,0,10,9,10,10,10,8,10,10,10,6,8,2,1,Divided,"1,221 sqft",1900,Driveway (1),104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
